Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.
Prereq Login,116040,60,59,74,78,87,40,852,0.00%,32.1,604.8,14.50
9.1 POST /notification-service/internal/api/v1/Topics('user{userId1}')/Messages,21271,67,59,72,144,270,39,543,0.00%,71.1,69.8,39.75
Login_NotificationPublisher_OrgPub,10,62,62,73,73,87,47,87,0.00%,1.1,20.4,10.66
00 BELL_NOTIFICATION-NS2.0UserPublish,2501,24,22,30,35,65,18,121,0.00%,8.4,7.6,8.19
9.4 PATCH /notification-service/internal/api/v1/markNotificationsAsReadForUser,2501,15,16,19,19,21,10,39,0.00%,8.4,5.5,2.99
9.2 NS_Get BANNER_NOTIFICATIONs,1250,56,49,61,122,226,33,332,0.00%,4.2,3.0,31.96
9.3 NS_Get BELL_NOTIFICATIONs,1250,17,18,20,21,23,11,55,0.00%,4.2,3.0,3.13
Prereq agent Login,200,52,51,65,68,75,37,85,0.00%,1.0,1.0,9.32
1.1 GET /session-service/internal/api/v1/cache/ServiceAndUserInfo,701248,27,21,50,64,112,5,811,0.00%,2336.1,47838.5,23.77
1.4 GET /session-service/internal/api/v1/cache/ServiceInfo,357750,19,15,36,46,79,3,890,0.00%,1192.2,1795.8,18.18
1.8 GET /session-service/internal/api/v1/session/Agent,257580,16,13,31,39,67,3,760,0.00%,858.5,714.5,15.63
1.5 GET /session-service/internal/api/v1/session/User,57236,17,13,31,39,68,4,551,0.00%,190.8,3555.4,15.89
1.2 GET /session-service/internal/api/v1/cache/Orgs('{ss_orgId}')/Parent,14307,19,15,35,45,80,4,456,0.00%,47.8,32.9,17.20
1.3 GET /session-service/internal/api/v1/cache/UserInfo,14306,15,12,28,37,66,4,441,0.00%,47.8,889.6,15.29
1.6 POST /session-service/internal/api/v1/cache/LookupUsersById,14304,11,9,19,24,49,3,247,0.00%,47.8,40.5,10.04
1.7 POST /session-service/internal/api/v1/cache/LookupUsersByIdInAllOrgs,14304,11,9,19,24,45,3,444,0.00%,47.8,40.5,11.60
2.1 POST kms-service/internal/api/v1/EncryptWithMasterKey,131747,29,14,74,78,84,6,304,100.00%,439.2,193.7,27.36
2.2 POST kms-service/internal/api/v1/DecryptWithMasterKey,131731,29,14,74,78,85,6,336,100.00%,439.2,193.7,27.38
2.3 POST kms-service/internal/api/v1/EncryptWithDataKey,131718,29,14,74,78,84,6,380,100.00%,439.2,193.7,27.35
2.4 GET kms-service/internal/api/v1/DataKey,32937,29,14,74,78,84,6,286,100.00%,109.9,51.0,27.38
2.5 GET kms-service/internal/api/v1/DataKey('{KeyID}'),32932,29,14,74,78,84,6,329,100.00%,109.8,51.0,27.46
3.2 GET IndexPageURL,1124,40,40,47,49,60,30,91,0.00%,3.7,2.6,6.12
3.1 GET /cloudshell/internal/api/v1/LicensedServices,375,34,34,41,43,52,26,78,0.00%,1.3,1.5,5.47
4.11 GET /frs/internal/api/v1/GetPermission(artifactId='{document_id}'),83629,24,24,31,32,37,14,83,0.00%,278.8,258.5,4.92
4.10 GET /frs/internal/api/v1/Documents('{docId}'),20307,83,78,97,119,253,49,432,0.00%,67.7,123.1,32.41
4.3 POST /frs/internal/api/v1/GetEffPrivilegeForDoctypeContainer,8364,13,14,18,19,22,7,74,0.00%,27.9,23.7,3.71
4.1 GET /frs/internal/api/v1/Projects,2390,30,31,38,40,44,18,62,0.00%,8.0,33.7,5.47
4.2 GET /frs/internal/api/v1/Projects('{project_id}')/Documents,2389,22,19,37,52,71,10,79,0.00%,8.0,10.3,12.40
0 GET /frs/internal/api/v1/Projects,20,301,299,415,422,431,106,431,0.00%,.9,182.6,95.71
4.12 POST /frs/internal/api/v1/LookupArtifactsDetailsByPath,2389,28,28,36,38,42,17,51,0.00%,8.0,12.3,5.62
4.9 GET /frs/internal/api/v1/Documents,2389,127,123,166,171,178,78,191,0.00%,8.0,91.1,27.50
